('http://www.cs.jhu.edu/~yarowsky/', 'David Yarowsky')
('http://www.cs.jhu.edu/~yarowsky/466.officehours.html', 'TA/CA Office Hours and Contact Information')
('http://www.cs.jhu.edu/~yarowsky/601.466.on.exam.txt', 'Topics on Exam')
('http://www.cs.jhu.edu/~yarowsky/cs466slides/', 'Link to Course Slides (except Weka or textbook slides, below)')
('http://www.cs.jhu.edu/~yarowsky/cs466.pdf', 'PDF version')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw1.pdf', 'Homework #1 (due 2/11/22 and 2/18/22 - correct dates)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw1.zip', 'Homework #1 (sample code and training data)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw2.pdf', 'Homework #2 (due 3/04/22 and 3/11/22)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw2.zip', 'Homework #2 (sample code and training data)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw3.pdf', 'Homework #3 (due 3/18/22)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw3.zip', 'Homework #3 (training data)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw4.pdf', 'Homework #4 (due 4/5/22)')
('http://www.cs.jhu.edu/~yarowsky/HW4-starter.zip', 'Homework #4 .py starter code in zip file (due 4/5/22)')
('http://www.cs.jhu.edu/~yarowsky/601.466.pr.pdf', 'Final Project')
